Sample_ID_phyloseq,tax_id,count_16s,species,genus,family,order,class,phylum,superkingdom,Latitude,Longitude,Morphology_species,Sex,Age,Weight_g,Location_type,Date,conc_16s__PCR,Gene,Sample_ID,barcode_16s,is_control,sample_or_control
R07__barcode11,10114,15.933416325277856,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,28,16s,R07,barcode11,FALSE,sample
R19__barcode24,10114,59.93185106451955,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023,16,16s,R19,barcode24,FALSE,sample
R55__barcode59,10114,13.84680630572978,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.577246,18.191356,Micaelamys_namaquesnsis,female,adult,51,Bush,26.03.2023,29,16s,R55,barcode59,FALSE,sample
R48__barcode52,10114,63.05404126187176,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16,16s,R48,barcode52,FALSE,sample
R03__barcode04,10114,21.062518531072747,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8,16s,R03,barcode04,FALSE,sample
R26__barcode30,10114,102.45310635120627,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023,24,16s,R26,barcode30,FALSE,sample
R40__barcode44,10114,21.445247035814035,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,18,16s,R40,barcode44,FALSE,sample
R32__barcode36,10114,26.50209318685328,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,16.3,16s,R32,barcode36,FALSE,sample
R29__barcode33,10114,469.44889249131415,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683382,18.16094,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,33,16s,R29,barcode33,FALSE,sample
R56__barcode60,10114,566.2121184583789,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.575708,18.19194,Vole,NA,adult,49,Bush,26.03.2023,5.72,16s,R56,barcode60,FALSE,sample
R10__barcode14,10114,28.848740400094133,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,18.4,16s,R10,barcode14,FALSE,sample
R21__barcode25,10114,40.54593047557472,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,38,Farm,23.03.2023,19,16s,R21,barcode25,FALSE,sample
R31__barcode35,10114,33.99682515256643,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,20,16s,R31,barcode35,FALSE,sample
R02__barcode03,10114,26.056080682795884,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2023,9.444,16s,R02,barcode03,FALSE,sample
R37__barcode41,10114,74.08530062900427,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023,18,16s,R37,barcode41,FALSE,sample
R15__barcode19,10114,17.63282171556475,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023,8,16s,R15,barcode19,FALSE,sample
R52__barcode56,10114,74.41297821553242,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,28,Bush,26.03.2023,30,16s,R52,barcode56,FALSE,sample
R23__barcode27,10114,294.5259368866259,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,30,Farm,23.03.2023,17,16s,R23,barcode27,FALSE,sample
R54__barcode58,10114,210.68485382640745,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.577597,18.191299,Vole,male,adult,79,Bush,26.03.2023,24,16s,R54,barcode58,FALSE,sample
R11__barcode15,10114,39.824279228846486,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023,15,16s,R11,barcode15,FALSE,sample
R34__barcode38,10114,135.02467000029165,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683846,18.160353,Micaelamys_namaquesnsis,male,juvenile,19,Bush,24.03.2023,12,16s,R34,barcode38,FALSE,sample
R13__barcode17,10114,45.25504415050995,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,30,16s,R13,barcode17,FALSE,sample
R36__barcode40,10114,302.0574505828893,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,52,Bush,24.03.2023,11,16s,R36,barcode40,FALSE,sample
R20__barcode23,10114,12.633096603908886,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,45,Farm,23.03.2023,26,16s,R20,barcode23,FALSE,sample
R14__barcode18,10114,47.263272980000004,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Micaelamys_namaquesnsis,male,juvenile,NA,House_outdoors,23.03.2023,11,16s,R14,barcode18,FALSE,sample
R50__barcode54,10114,161.94567979989665,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579395,18.192067,Micaelamys_namaquesnsis,female,adult,36,Bush,26.03.2023,12,16s,R50,barcode54,FALSE,sample
R16__barcode20,10114,119.95706938301592,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Mastomy_coucha,male,adult,44,House_outdoors,23.03.2023,18,16s,R16,barcode20,FALSE,sample
R09__barcode13,10114,48.51295335102162,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023,5.72,16s,R09,barcode13,FALSE,sample
R53__barcode57,10114,20.02499222058995,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023,27,16s,R53,barcode57,FALSE,sample
R01__barcode01,10114,27.02624,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,5.92,16s,R01,barcode01,FALSE,sample
R01__barcode02,10114,36.966310962276246,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,11.6,16s,R01,barcode02,FALSE,sample
R51__barcode55,10114,309.5612411095653,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,40,Bush,26.03.2023,18,16s,R51,barcode55,FALSE,sample
R18__barcode22,10114,34.996863930898684,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,11.7,16s,R18,barcode22,FALSE,sample
R07__barcode12,10114,26.071425325840373,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Mastomy_coucha,male,adult,45.5,Indoors,22.03.2023,20,16s,R07,barcode12,FALSE,sample
R24__barcode28,10114,16.001943955658554,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,33,Farm,23.03.2023,17,16s,R24,barcode28,FALSE,sample
R22__barcode26,10114,1024.8527480541095,NA,Lachnospiraceae UCG-001,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,35,Farm,23.03.2023,6,16s,R22,barcode26,FALSE,sample
R47__barcode51,1029,43.92806666863792,NA,NA,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023,27,16s,R47,barcode51,FALSE,sample
R15__barcode19,1029,81.50527235516488,NA,NA,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023,8,16s,R15,barcode19,FALSE,sample
C2__barcode62,103,43.77615009719573,haemolyticus;,Haemophilus,Pasteurellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,NA,NA,NA,NA,NA,NA,NA,NA,0.3,16s,C2,barcode62,TRUE,control
R47__barcode51,10334,36.95837343135966,NA,Fusicatenibacter,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023,27,16s,R47,barcode51,FALSE,sample
R42__barcode46,10351,118.83495790960374,sartorii;,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,-22.683512,18.161339,Thallomys_paedulcus,male,adult,71,Chickens,24.03.2023,28,16s,R42,barcode46,FALSE,sample
R03__barcode04,10351,52.838218976338055,sartorii;,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8,16s,R03,barcode04,FALSE,sample
R52__barcode56,10351,13.67959647693366,sartorii;,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,28,Bush,26.03.2023,30,16s,R52,barcode56,FALSE,sample
R53__barcode57,10351,30.27174967319266,sartorii;,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023,27,16s,R53,barcode57,FALSE,sample
R01__barcode02,10351,10.732986060248738,sartorii;,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,11.6,16s,R01,barcode02,FALSE,sample
R47__barcode51,1036,1246.9875012972404,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.583613,18.186369,Elephantulus_intufi,unidentified,adult,63,Bush,25.03.2023,27,16s,R47,barcode51,FALSE,sample
R45__barcode49,1036,70.25759183,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.586753,18.184711,Micaelamys_namaquesnsis,male,adult,55,Bush,25.03.2023,16,16s,R45,barcode49,FALSE,sample
R05__barcode08,1036,187.8328972289437,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023,2.1,16s,R05,barcode08,FALSE,sample
R04__barcode06,1036,101.34356861118688,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Mastomy_coucha,male,juvenile,7,Indoors,22.03.2023,18.3,16s,R04,barcode06,FALSE,sample
R41__barcode45,1036,36.09946076,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,female,adult,56,Chickens,24.03.2023,27,16s,R41,barcode45,FALSE,sample
R46__barcode50,1036,11.008211174527986,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.583613,18.186369,Mastomy_coucha,female,adult,45,Bush,25.03.2023,25,16s,R46,barcode50,FALSE,sample
R28__barcode32,1036,28.31139934101381,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,20.8,16s,R28,barcode32,FALSE,sample
R12__barcode16,1036,360.21115267451853,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Micaelamys_namaquesnsis,male,adult,60,House_outdoors,23.03.2023,17.7,16s,R12,barcode16,FALSE,sample
R19__barcode24,1036,104.79309872608655,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615737,18.192335,Micaelamys_namaquesnsis,male,adult,56,House_outdoors,23.03.2023,16,16s,R19,barcode24,FALSE,sample
R49__barcode53,1036,52.12133629827807,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579136,18.194229,Micaelamys_namaquesnsis,male,adult,57,Bush,26.03.2023,31,16s,R49,barcode53,FALSE,sample
R48__barcode52,1036,40.858313372611065,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.582935,18.186706,Micaelamys_namaquesnsis,male,adult,62,Bush,25.03.2023,16,16s,R48,barcode52,FALSE,sample
R44__barcode48,1036,34.545762084985434,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,House_mouse,male,NA,12,Chickens,24.03.2023,38,16s,R44,barcode48,FALSE,sample
R03__barcode04,1036,37.78974551027273,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578856,18.190222,Mastomy_coucha,male,adult,32.5,Bush,22.03.2023,22.8,16s,R03,barcode04,FALSE,sample
R26__barcode30,1036,54.59898806,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,44,Farm,23.03.2023,24,16s,R26,barcode30,FALSE,sample
R40__barcode44,1036,13.999999999693678,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,56,Chickens,24.03.2023,18,16s,R40,barcode44,FALSE,sample
R32__barcode36,1036,378.2422820042293,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,16.3,16s,R32,barcode36,FALSE,sample
R29__barcode33,1036,15.230222555636534,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683382,18.16094,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,33,16s,R29,barcode33,FALSE,sample
R33__barcode37,1036,64.03541523123857,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683742,18.160822,Micaelamys_namaquesnsis,NA,adult,NA,Bush,24.03.2023,27.4,16s,R33,barcode37,FALSE,sample
R56__barcode60,1036,96.24472605891832,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.575708,18.19194,Vole,NA,adult,49,Bush,26.03.2023,5.72,16s,R56,barcode60,FALSE,sample
R27__barcode31,1036,43.17038795329745,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683319,18.160801,Micaelamys_namaquesnsis,NA,adult,NA,House_outdoors,24.03.2023,23.8,16s,R27,barcode31,FALSE,sample
R10__barcode14,1036,30.96584928,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,18.4,16s,R10,barcode14,FALSE,sample
R21__barcode25,1036,55.35999730640712,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,38,Farm,23.03.2023,19,16s,R21,barcode25,FALSE,sample
R31__barcode35,1036,37.82583366265944,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683563,18.16095,Micaelamys_namaquesnsis,NA,adult,NA,House,24.03.2023,20,16s,R31,barcode35,FALSE,sample
R02__barcode03,1036,31.000020568904493,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,43.5,Outdoor_kitchen,22.03.2023,9.444,16s,R02,barcode03,FALSE,sample
R37__barcode41,1036,95.05446975840776,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683966,18.160235,Micaelamys_namaquesnsis,male,adult,62,Bush,24.03.2023,18,16s,R37,barcode41,FALSE,sample
R15__barcode19,1036,369.85784749224456,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Micaelamys_namaquesnsis,male,adult,54,House_outdoors,23.03.2023,8,16s,R15,barcode19,FALSE,sample
R52__barcode56,1036,79.77713803488885,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,28,Bush,26.03.2023,30,16s,R52,barcode56,FALSE,sample
R23__barcode27,1036,141.6836725280419,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Mastomy_coucha,male,adult,30,Farm,23.03.2023,17,16s,R23,barcode27,FALSE,sample
R54__barcode58,1036,129.2652761996862,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.577597,18.191299,Vole,male,adult,79,Bush,26.03.2023,24,16s,R54,barcode58,FALSE,sample
R39__barcode43,1036,71.81915164746125,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683512,18.161339,Micaelamys_namaquesnsis,male,adult,59,Chickens,24.03.2023,5,16s,R39,barcode43,FALSE,sample
R11__barcode15,1036,78.82482018,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Thallomys_paedulcus,male,adult,89,House_outdoors,23.03.2023,15,16s,R11,barcode15,FALSE,sample
R34__barcode38,1036,100.2831408566656,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.683846,18.160353,Micaelamys_namaquesnsis,male,juvenile,19,Bush,24.03.2023,12,16s,R34,barcode38,FALSE,sample
R13__barcode17,1036,15.977365605715514,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615088,18.192674,Mastomy_coucha,male,adult,40,House_outdoors,23.03.2023,30,16s,R13,barcode17,FALSE,sample
R25__barcode29,1036,101.75936766399956,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,64,Farm,23.03.2023,21,16s,R25,barcode29,FALSE,sample
R20__barcode23,1036,42.83648920548042,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613411,18.193519,Micaelamys_namaquesnsis,male,adult,45,Farm,23.03.2023,26,16s,R20,barcode23,FALSE,sample
R14__barcode18,1036,277.6993626017758,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Micaelamys_namaquesnsis,male,juvenile,NA,House_outdoors,23.03.2023,11,16s,R14,barcode18,FALSE,sample
R05__barcode07,1036,15.872682218728915,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.580747,18.187053,Micaelamys_namaquesnsis,male,adult,43.5,Indoors,22.03.2023,6.38,16s,R05,barcode07,FALSE,sample
R50__barcode54,1036,189.88881456829824,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579395,18.192067,Micaelamys_namaquesnsis,female,adult,36,Bush,26.03.2023,12,16s,R50,barcode54,FALSE,sample
R16__barcode20,1036,93.69248338218289,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.613508,18.192469,Mastomy_coucha,male,adult,44,House_outdoors,23.03.2023,18,16s,R16,barcode20,FALSE,sample
R09__barcode13,1036,136.3257323861833,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.61483,18.192715,Thallomys_paedulcus,male,adult,116,House_outdoors,23.03.2023,5.72,16s,R09,barcode13,FALSE,sample
R53__barcode57,1036,124.52987412774772,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579016,18.190399,Micaelamys_namaquesnsis,male,adult,39,Bush,26.03.2023,27,16s,R53,barcode57,FALSE,sample
R01__barcode01,1036,527.35233060759094,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,5.92,16s,R01,barcode01,FALSE,sample
R01__barcode02,1036,187.76165568392892,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.578899,18.189302,Mastomy_coucha,male,adult,38.7,Outdoor_kitchen,22.03.2023,11.6,16s,R01,barcode02,FALSE,sample
R51__barcode55,1036,546.8828901741583,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.579473,18.191019,Micaelamys_namaquesnsis,female,adult,40,Bush,26.03.2023,18,16s,R51,barcode55,FALSE,sample
R18__barcode22,1036,26.137258659137828,NA,Lachnoclostridium,Lachnospiraceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,-22.615737,18.192335,Mastomy_coucha,male,adult,34,House_outdoors,23.03.2023,11.7,16s,R18,barcode22,FALSE,sample
