"Sample ID","User name","Date and Time","Nucleic Acid","Unit","A260 (Abs)","A280 (Abs)","260/280","260/230","Sample Type","Factor"
"Ro18","fay_w","26/03/2023 11:08:24",83.2,"ng/µl",1.663,0.998,1.67,0.58,"DNA",50
"Ro19","fay_w","26/03/2023 11:08:48",76,"ng/µl",1.519,0.811,1.87,1.7,"DNA",50
"Ro20","fay_w","26/03/2023 11:09:16",201.5,"ng/µl",4.031,2.564,1.57,0.41,"DNA",50
"Ro21","fay_w","26/03/2023 11:09:49",165.6,"ng/µl",3.313,1.77,1.87,1.57,"DNA",50
"Ro22","fay_w","26/03/2023 11:10:17",199.4,"ng/µl",3.988,2.208,1.81,1.2,"DNA",50
"Ro22","fay_w","26/03/2023 11:10:43",165.2,"ng/µl",3.304,1.788,1.85,1.46,"DNA",50
"Ro23","fay_w","26/03/2023 11:11:15",164.1,"ng/µl",3.283,1.781,1.84,1.36,"DNA",50
"Ro24","fay_w","26/03/2023 11:11:52",142.8,"ng/µl",2.856,1.648,1.73,0.78,"DNA",50
"Ro25","fay_w","26/03/2023 11:12:27",59,"ng/µl",1.181,0.64,1.85,1.26,"DNA",50
"Ro26","fay_w","26/03/2023 11:12:51",178.2,"ng/µl",3.565,1.887,1.89,2.19,"DNA",50
"RoX","fay_w","26/03/2023 11:13:25",1.3,"ng/µl",0.027,0.004,6.05,0.02,"DNA",50
"R27","fay_w","26/03/2023 11:29:18",94.1,"ng/µl",1.882,0.888,2.12,2.04,"DNA",50
"R28","fay_w","26/03/2023 11:30:00",117.5,"ng/µl",2.349,1.258,1.87,1.96,"DNA",50
"R29","fay_w","26/03/2023 11:30:28",18,"ng/µl",0.361,0.185,1.95,1.12,"DNA",50
"R30","fay_w","26/03/2023 11:30:50",122.3,"ng/µl",2.445,1.314,1.86,2.01,"DNA",50
"R31","fay_w","26/03/2023 11:31:19",102.6,"ng/µl",2.053,1.104,1.86,1.68,"DNA",50
"R33","fay_w","26/03/2023 11:32:18",62.7,"ng/µl",1.255,0.678,1.85,1.77,"DNA",50
"R32","fay_w","26/03/2023 11:31:50",186.6,"ng/µl",3.731,2.006,1.86,1.23,"DNA",50
"R34","fay_w","26/03/2023 11:32:36",56.9,"ng/µl",1.138,0.622,1.83,0.88,"DNA",50
"R35","fay_w","26/03/2023 11:33:06",79.1,"ng/µl",1.582,0.871,1.82,1.77,"DNA",50
"R36","fay_w","26/03/2023 11:33:32",7.3,"ng/µl",0.145,0.074,1.96,0.99,"DNA",50
"R38","fay_w","26/03/2023 11:34:13",119.8,"ng/µl",2.397,1.277,1.88,1.52,"DNA",50
"R37","fay_w","26/03/2023 11:33:51",226.5,"ng/µl",4.53,2.443,1.85,1.92,"DNA",50
"R39","fay_w","26/03/2023 11:34:31",59.8,"ng/µl",1.196,0.636,1.88,1.16,"DNA",50
"R40","fay_w","26/03/2023 11:34:51",94.9,"ng/µl",1.898,1.065,1.78,1.13,"DNA",50
"R42","fay_w","26/03/2023 11:35:42",103.8,"ng/µl",2.076,1.113,1.87,1.88,"DNA",50
"R41","fay_w","26/03/2023 11:35:12",103.8,"ng/µl",2.075,1.116,1.86,1.81,"DNA",50
"R43","fay_w","26/03/2023 11:36:00",3.2,"ng/µl",0.063,0.035,1.82,0.04,"DNA",50
"R44","fay_w","26/03/2023 11:36:24",81.7,"ng/µl",1.634,0.896,1.82,0.94,"DNA",50
"R45","fay_w","26/03/2023 11:36:52",115.5,"ng/µl",2.31,1.223,1.89,2.16,"DNA",50
"R46","fay_w","26/03/2023 11:37:13",77.6,"ng/µl",1.552,0.845,1.84,0.3,"DNA",50
"R47","fay_w","26/03/2023 11:37:35",148,"ng/µl",2.961,1.589,1.86,1.73,"DNA",50
"R48","fay_w","26/03/2023 11:37:57",107.8,"ng/µl",2.155,1.173,1.84,1.74,"DNA",50
"R6.b(18)wdh","fay_w","26/03/2023 11:40:41",77.3,"ng/µl",1.545,0.903,1.71,0.95,"DNA",50
"R_control","fay_w","26/03/2023 11:38:22",0.6,"ng/µl",0.013,-0.004,-2.96,0.02,"DNA",50
"R2.1(10)wdh","fay_w","26/03/2023 11:43:34",64.8,"ng/µl",1.295,0.701,1.85,2.03,"DNA",50
"R7b(20)wdh","fay_w","26/03/2023 11:45:18",47,"ng/µl",0.94,0.51,1.85,1.65,"DNA",50
"R3.1(12)wdh","fay_w","26/03/2023 11:44:17",71.8,"ng/µl",1.437,0.775,1.85,1.92,"DNA",50
"R5.2(16)wdh2","fay_w","26/03/2023 11:46:52",0.8,"ng/µl",0.016,0.001,22.87,0.01,"DNA",50
"R5.2(16)wdh","fay_w","26/03/2023 11:46:16",1.2,"ng/µl",0.024,0,101.69,0.01,"DNA",50
"R7a(19)wdh","fay_w","26/03/2023 11:48:37",68.2,"ng/µl",1.364,0.833,1.64,0.8,"DNA",50
"G13.1","fay_w","27/03/2023 13:06:55",55.6,"ng/µl",1.112,0.605,1.84,1.46,"DNA",50
"SS2Ro","fay_w","27/03/2023 13:07:51",79,"ng/µl",1.58,0.854,1.85,1.24,"DNA",50
"LW3L","fay_w","27/03/2023 13:08:42",40.7,"ng/µl",0.813,0.442,1.84,1.14,"DNA",50
"Ro51","fay_w","27/03/2023 14:19:00",67.7,"ng/µl",1.353,0.745,1.82,1.47,"DNA",50
"SS8Wh","fay_w","27/03/2023 14:19:31",136.9,"ng/µl",2.737,1.47,1.86,1.78,"DNA",50
"G10.3","fay_w","27/03/2023 14:20:09",146.1,"ng/µl",2.923,1.572,1.86,0.73,"DNA",50
"Ro49","fay_w","27/03/2023 14:20:50",112.5,"ng/µl",2.249,1.205,1.87,1.48,"DNA",50
"SS6G","fay_w","27/03/2023 14:21:27",39,"ng/µl",0.78,0.413,1.89,1.22,"DNA",50
"SS6G","fay_w","27/03/2023 14:22:23",39.9,"ng/µl",0.797,0.428,1.86,1.18,"DNA",50
"SS3os","fay_w","27/03/2023 14:23:32",54.7,"ng/µl",1.094,0.582,1.88,1.33,"DNA",50
"SS5Sb","fay_w","27/03/2023 14:24:07",85.6,"ng/µl",1.711,0.94,1.82,0.37,"DNA",50
"SS4Bw","fay_w","27/03/2023 14:24:49",85.3,"ng/µl",1.706,0.925,1.84,1.26,"DNA",50
"G10.8","fay_w","27/03/2023 14:25:16",77.2,"ng/µl",1.543,0.825,1.87,1.63,"DNA",50
"G20.6","fay_w","27/03/2023 14:26:01",105.7,"ng/µl",2.115,1.142,1.85,1.66,"DNA",50
"SS7Z","fay_w","27/03/2023 14:26:40",147.4,"ng/µl",2.948,1.635,1.8,1.35,"DNA",50
"SS9E","fay_w","27/03/2023 14:27:19",152.6,"ng/µl",3.051,1.64,1.86,1.54,"DNA",50
"MM25L","fay_w","27/03/2023 14:27:54",61.2,"ng/µl",1.223,0.657,1.86,0.92,"DNA",50
"Ro53","fay_w","27/03/2023 14:28:32",158.5,"ng/µl",3.17,1.706,1.86,1.54,"DNA",50
"Ro54","fay_w","27/03/2023 14:29:09",283,"ng/µl",5.66,3.054,1.85,2.09,"DNA",50
"Ro52","fay_w","27/03/2023 14:30:04",223.7,"ng/µl",4.474,2.412,1.85,1.82,"DNA",50
"Ro50","fay_w","27/03/2023 14:30:34",76.9,"ng/µl",1.539,0.845,1.82,1.28,"DNA",50
"Ro55","fay_w","27/03/2023 14:31:02",84.2,"ng/µl",1.683,0.913,1.84,1.81,"DNA",50
"SS1R","fay_w","27/03/2023 14:31:48",153.3,"ng/µl",3.066,1.661,1.85,1.71,"DNA",50
"Ro56","fay_w","27/03/2023 14:32:26",112.1,"ng/µl",2.242,1.205,1.86,1.66,"DNA",50
"SS2Ro","fay_w","27/03/2023 14:32:57",81,"ng/µl",1.62,0.866,1.87,1.21,"DNA",50
